"province_name","age_group","male2011","female2011","male2016","female2016","rate_male","rate_female"
"چهارمحال و بختیاری","25-29",52184,51007,51671,48776,-0.196611988348919,-0.874781892681397
"چهارمحال و بختیاری","30-34",39551,38775,51026,48472,5.80263457308286,5.00167633784655
"چهارمحال و بختیاری","35-39",33128,31817,39890,38082,4.08234725911615,3.93814627400446
"چهارمحال و بختیاری","40-44",27482,26353,32724,31329,3.81486063605269,3.77642014191933
"چهارمحال و بختیاری","45-49",22233,21335,27057,25874,4.33949534475779,4.25498007968127
"چهارمحال و بختیاری","50-54",18517,18066,21667,20855,3.40227898687692,3.08756780693014
"چهارمحال و بختیاری","55-59",13990,14568,17714,17296,5.32380271622588,3.74519494783086
"چهارمحال و بختیاری","60-64",9651,11393,13474,14120,7.92249507823024,4.78715000438866
"چهارمحال و بختیاری","65-69",5938,6933,9056,10600,10.501852475581,10.5783931919804
"چهارمحال و بختیاری","70-74",6236,6332,5364,6251,-2.79666452854394,-0.25584333543904
"چهارمحال و بختیاری","75-79",5664,4876,5269,5005,-1.39477401129944,0.529122231337162
"چهارمحال و بختیاری","80-84",4014,3578,4140,3379,0.62780269058296,-1.11235326998323
"چهارمحال و بختیاری","85-89",1887,1358,2332,1916,4.71648118706942,8.2179675994109
"چهارمحال و بختیاری","90-94",264,264,702,551,33.1818181818182,21.7424242424242
"چهارمحال و بختیاری","95-99",67,74,75,93,2.38805970149254,5.13513513513514
"چهارمحال و بختیاری",">100",26,51,19,28,-5.38461538461538,-9.01960784313725
"چهارمحال و بختیاری","unknown",48,26,NA,NA,NA,NA
"خراسان جنوبی","0-4",33198,31677,43452,41521,6.17748057111874,6.21523502856962
"خراسان جنوبی","5-9",30121,28464,36077,34394,3.95471597888516,4.16666666666667
"خراسان جنوبی","10-14",30108,29224,31649,30415,1.023648199814,0.815083493019436
"خراسان جنوبی","15-19",35001,31028,34558,29802,-0.253135624696437,-0.790253964161403
"خراسان جنوبی","20-24",37512,35836,34514,30638,-1.59842183834506,-2.90099341444358
"خراسان جنوبی","25-29",32584,32485,37468,35684,2.99779032654063,1.96952439587502
"خراسان جنوبی","30-34",26005,26305,35861,35090,7.58008075370121,6.67933852879681
"خراسان جنوبی","35-39",21301,21239,28835,28529,7.07384629829586,6.8647299778709
"خراسان جنوبی","40-44",18345,19215,22156,22876,4.15481057508858,3.81056466302368
"خراسان جنوبی","45-49",13807,14936,19487,20451,8.22771058158905,7.38484199250134
"خراسان جنوبی","50-54",13141,14540,14865,16221,2.62384902214443,2.31224209078404
"خراسان جنوبی","55-59",9994,11240,13871,15459,7.75865519311587,7.50711743772242
"خراسان جنوبی","60-64",6791,7753,10427,11663,10.7082903843322,10.086418160712
